Year,Sex,Type,Cancer_Type,Age_0_to_4,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_29,Age_30_to_34,Age_35_to_39,Age_40_to_44,Age_45_to_49,Age_50_to_54,Age_55_to_59,Age_60_to_64,Age_65_to_69,Age_70_to_74,Age_75_to_79,Age_80_to_84,Age_85+,Age_Unknown,Age_Std_Rate_Aust,Age_Std_Rate_Segi,Age_Std_Rate_WHO
1987,Female,Incidence,Acute lymphoblastic leukaemia,6.391625,2.746427,1.129493,0.736912,0.459593,0.293079,0.464069,0.160187,0.559836,0.000000,0.271693,0.816971,0.814518,0.948947,0.748495,0.502836,0.807878,2.057740,0.000000,1.094036,1.482512,1.263470
1988,Female,Incidence,Acute lymphoblastic leukaemia,5.165436,2.868579,1.477158,0.870474,0.612852,0.287308,0.151332,0.315221,0.526302,0.919010,0.000000,1.100325,0.810668,0.607312,0.747610,0.485762,2.324536,1.001874,0.000000,1.110218,1.435823,1.254301
1989,Female,Incidence,Acute lymphoblastic leukaemia,4.284645,2.484007,1.987156,0.868277,0.303634,0.424704,0.147628,0.464602,0.167808,0.000000,0.513905,0.831043,0.269832,0.874957,0.752414,0.931181,2.242002,2.906751,0.000000,1.013086,1.270699,1.124574
1990,Female,Incidence,Acute lymphoblastic leukaemia,5.710361,2.439100,1.498631,1.313913,0.746450,0.565949,0.143999,0.304656,0.000000,0.208925,0.748354,0.556891,0.269794,0.860679,1.477989,2.718733,2.870985,0.946889,0.000000,1.186906,1.498871,1.316387
1991,Female,Incidence,Acute lymphoblastic leukaemia,5.166282,3.065554,1.491775,1.052155,1.015022,0.573942,0.000000,0.451699,0.312924,0.000000,0.726090,0.557650,0.540411,1.708195,1.062846,2.217275,1.375374,1.817736,0.000000,1.203317,1.519325,1.339193
1992,Female,Incidence,Acute lymphoblastic leukaemia,6.394547,2.407546,1.644383,1.242039,0.709315,0.725946,1.380325,0.147745,0.467876,0.000000,0.471901,1.092807,0.822084,1.417961,2.052728,1.747541,0.660786,5.198046,0.000000,1.412257,1.733010,1.542546
1993,Female,Incidence,Acute lymphoblastic leukaemia,6.360312,2.407979,1.139562,1.112771,0.563441,0.588887,0.274133,0.727826,0.464301,0.699403,0.461753,1.066655,0.557247,0.845845,0.990174,1.741864,2.531053,2.468547,0.000000,1.281847,1.604511,1.409404
1994,Female,Incidence,Acute lymphoblastic leukaemia,7.130328,3.046449,1.126773,0.483925,0.848758,0.443033,0.682346,0.143646,0.457687,0.504716,0.442756,1.040242,0.561994,0.565862,0.632103,1.760641,2.398959,1.573700,0.000000,1.274800,1.669209,1.442924
1995,Female,Incidence,Acute lymphoblastic leukaemia,6.178384,2.866607,1.747441,0.974890,0.285261,0.146134,0.411682,0.422485,0.150260,0.162729,0.843681,0.000000,0.562789,0.850304,0.621662,1.290173,1.164260,2.989447,0.000000,1.139437,1.512726,1.299469
1996,Female,Incidence,Acute lymphoblastic leukaemia,6.680059,4.100461,2.203819,1.128756,0.292412,0.710780,0.416139,0.412983,0.295753,0.156947,0.404064,0.739754,0.000000,0.849861,2.151126,1.648784,2.276141,2.129139,0.000000,1.404887,1.825575,1.590648
1997,Female,Incidence,Acute lymphoblastic leukaemia,6.523925,1.720016,2.511514,0.807213,0.601186,0.554460,0.280670,0.811405,0.435637,0.468946,0.748378,0.716042,0.829350,1.141500,0.000000,0.783933,0.000000,2.691120,0.000000,1.232460,1.620584,1.407499
1998,Female,Incidence,Acute lymphoblastic leukaemia,5.757789,3.564781,1.722623,0.962516,0.617416,0.411613,0.283359,0.534214,0.715420,0.000000,1.053485,1.392014,1.080021,1.440565,1.822473,0.748192,3.866271,2.565369,0.000000,1.423947,1.734240,1.545146
1999,Female,Incidence,Acute lymphoblastic leukaemia,5.777471,2.462277,2.955924,2.058728,0.157229,0.412356,0.848594,0.530521,0.140722,0.755608,0.336446,0.666719,1.047321,0.871981,1.508983,1.790837,3.296740,0.000000,0.000000,1.397266,1.749051,1.560761
2000,Female,Incidence,Acute lymphoblastic leukaemia,6.768659,2.449521,1.851569,1.397878,0.158650,0.000000,0.420166,0.531843,0.965865,0.149208,0.968920,1.275326,0.253602,1.458206,2.413076,1.049219,3.177916,2.872177,0.000000,1.405321,1.728712,1.524396
2001,Female,Incidence,Acute lymphoblastic leukaemia,5.800539,3.979034,2.440405,0.457434,0.000000,1.000700,0.408080,0.134020,0.675454,0.588809,0.310629,1.015107,0.246740,0.290211,0.601392,2.413568,1.995649,2.746121,0.000000,1.318527,1.677795,1.474027
2002,Female,Incidence,Acute lymphoblastic leukaemia,6.144105,3.688659,1.962792,0.604298,0.463756,1.026822,0.931128,0.271095,0.132370,0.725032,0.932094,0.563889,1.681779,1.704274,0.606566,2.396842,2.387490,3.192712,0.000000,1.490313,1.831581,1.627110
2003,Female,Incidence,Acute lymphoblastic leukaemia,6.790403,4.481665,1.647720,1.049916,0.150770,0.000000,0.394101,0.136811,0.914170,0.000000,1.076713,1.059921,0.702227,1.662275,1.840632,1.696220,1.828889,2.079910,0.000000,1.449474,1.852077,1.611224
2004,Female,Incidence,Acute lymphoblastic leukaemia,8.728345,2.945599,2.234976,0.746235,0.590637,0.448679,0.263048,0.410476,0.648711,0.557622,0.760128,0.848713,1.348830,1.076571,2.167250,1.686335,1.758311,2.035779,0.000000,1.565544,2.043591,1.757952
2005,Female,Incidence,Acute lymphoblastic leukaemia,4.022552,2.019888,2.077666,1.781473,1.007493,0.893035,0.132365,0.541633,0.259943,0.410057,0.450094,0.491123,0.644084,1.570993,1.862966,1.011405,2.140539,2.430961,0.000000,1.203870,1.449973,1.313750
2006,Female,Incidence,Acute lymphoblastic leukaemia,6.983218,3.563643,1.188432,1.327304,0.702230,0.291810,0.270188,0.000000,0.261959,0.268046,1.032947,0.953746,0.819793,2.556982,0.926529,1.685283,0.843775,1.392590,0.000000,1.364432,1.794165,1.545028
2007,Female,Incidence,Acute lymphoblastic leukaemia,7.689610,3.089796,1.337483,0.289381,0.826999,0.705724,0.547329,1.276776,0.528124,0.787245,1.012790,0.477308,0.569869,0.743458,0.602526,0.337415,0.415514,0.442061,0.000000,1.362800,1.823680,1.572423
2008,Female,Incidence,Acute lymphoblastic leukaemia,7.431176,2.457712,1.486295,0.568299,0.672563,0.270138,0.000000,0.124874,0.397472,0.257792,1.277574,1.255294,0.896559,0.720716,0.293933,0.677064,0.817705,0.850290,0.000000,1.195254,1.637214,1.384909
2009,Female,Incidence,Acute lymphoblastic leukaemia,6.630965,2.591013,2.075147,0.703239,0.781500,0.257734,0.406467,0.247522,0.525201,0.892863,0.832218,0.154339,2.076046,1.148148,1.711079,0.677906,0.893980,0.409464,0.000000,1.322663,1.725122,1.493849
2010,Female,Incidence,Acute lymphoblastic leukaemia,6.441365,2.910875,1.429861,1.178073,0.203890,0.802152,0.530732,0.502195,0.397854,0.341014,0.882048,0.497525,0.356101,0.804608,0.542262,0.772801,1.144313,0.650665,0.000000,1.209787,1.615490,1.394784
2011,Female,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1968,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1969,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1970,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1971,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1972,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1973,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1974,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1975,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1976,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1977,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1978,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1979,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1980,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1981,Persons,Incidence,Acute lymphoblastic leukaemia,,,,,,,,,,,,,,,,,,,,,,
1982,Persons,Incidence,Acute lymphoblastic leukaemia,7.011324,3.319072,1.771967,1.474018,0.524973,0.398840,0.569766,0.465878,0.115500,0.267265,0.261060,0.134001,1.571951,1.105304,0.717621,1.471448,3.127913,0.941699,0.000000,1.349828,1.788279,1.545542
1983,Persons,Incidence,Acute lymphoblastic leukaemia,5.554440,2.480604,1.458362,0.468428,0.593279,0.708434,0.484271,0.350537,0.224588,0.130366,0.265742,0.000000,0.603300,1.104732,1.386043,2.812930,4.215065,3.660222,0.000000,1.179520,1.429315,1.266158
1984,Persons,Incidence,Acute lymphoblastic leukaemia,6.757710,3.202970,1.244899,1.631183,0.961588,0.154942,0.320832,0.169099,0.323203,0.505646,0.269557,0.924774,1.156101,0.743211,1.550868,1.010918,1.723761,0.881655,0.000000,1.303419,1.731682,1.493960
1985,Persons,Incidence,Acute lymphoblastic leukaemia,7.836233,2.297616,2.072763,1.379621,0.741042,0.227358,0.718474,0.488744,0.103251,0.488605,0.818506,0.922237,0.846806,1.830365,1.292159,3.222584,1.118424,1.649920,0.000000,1.491553,1.904749,1.663153
1986,Persons,Incidence,Acute lymphoblastic leukaemia,6.702607,2.543476,1.677411,1.187629,0.748106,0.667425,0.551525,0.473675,0.197174,0.237453,0.542851,0.661782,0.972988,1.578529,1.267971,1.541108,0.000000,3.093677,0.000000,1.320449,1.713474,1.489996
1987,Persons,Incidence,Acute lymphoblastic leukaemia,5.661845,2.926084,1.650266,1.875541,0.753464,0.217643,0.617655,0.158785,0.819524,0.230311,0.398563,0.936353,0.967236,1.008327,1.874594,1.485699,2.575355,2.248067,0.000000,1.354862,1.679405,1.493162
1988,Persons,Incidence,Acute lymphoblastic leukaemia,5.937127,2.298186,1.838341,1.136627,0.905101,0.569555,0.377498,0.470422,0.857515,0.669472,0.259311,1.082793,1.367624,0.804363,1.457756,0.859498,2.957938,1.452454,0.000000,1.339305,1.665403,1.477767
1989,Persons,Incidence,Acute lymphoblastic leukaemia,5.788479,3.142878,2.177126,1.273730,0.598849,0.631971,0.588818,0.695115,0.164525,0.426344,0.503077,1.229251,1.087954,0.769418,1.045999,1.645738,2.371073,3.491913,0.000000,1.405115,1.738053,1.548973
1990,Persons,Incidence,Acute lymphoblastic leukaemia,6.438014,3.089593,2.268051,1.996573,0.809800,0.773228,0.287026,0.228524,0.158829,0.712745,0.487126,0.688643,0.406246,1.056841,1.842277,1.865532,2.271684,0.679463,0.000000,1.430380,1.845321,1.620061
1991,Persons,Incidence,Acute lymphoblastic leukaemia,6.526681,3.615761,1.932960,1.099647,1.145505,0.643012,0.070139,0.301117,0.463581,0.485840,0.708438,0.275501,0.949967,1.638392,0.978943,2.080651,1.740432,1.296622,0.000000,1.410231,1.829197,1.594964
1992,Persons,Incidence,Acute lymphoblastic leukaemia,6.542321,3.049839,1.519544,1.665131,0.769903,0.651440,0.827580,0.517755,0.540912,0.363830,0.460013,0.675838,0.549982,1.919383,1.882048,1.791023,0.834568,4.916179,0.000000,1.482189,1.839315,1.628584
1993,Persons,Incidence,Acute lymphoblastic leukaemia,6.505863,2.897189,1.504340,1.859620,0.486282,0.733830,0.411112,1.020864,0.539103,0.771481,0.450371,1.187614,0.698079,1.023483,0.723164,1.273288,2.787723,3.492453,0.000000,1.466705,1.822589,1.616342
1994,Persons,Incidence,Acute lymphoblastic leukaemia,6.790726,3.050202,1.410347,1.493529,0.696988,0.441953,1.091523,0.359757,0.609376,0.496110,0.648567,1.157912,1.126619,1.313926,1.035386,2.563695,1.886550,3.883172,0.000000,1.518665,1.864198,1.657062
1995,Persons,Incidence,Acute lymphoblastic leukaemia,6.094734,3.260277,1.703923,1.504028,0.632533,0.291398,0.480475,0.422940,0.376227,0.400747,0.516306,0.250279,0.565373,0.436858,0.677134,1.743814,1.094827,3.676529,0.000000,1.266905,1.647234,1.435386
1996,Persons,Incidence,Acute lymphoblastic leukaemia,6.349197,4.306159,2.303049,1.651343,0.648062,0.638397,0.556031,0.620609,0.518639,0.387963,0.495073,0.485828,0.565774,1.161462,1.999463,2.373527,2.134684,1.990991,0.000000,1.556901,1.962340,1.738699
1997,Persons,Incidence,Acute lymphoblastic leukaemia,5.730446,2.438946,2.375477,1.259851,0.741081,0.692951,0.352134,0.949953,0.364416,0.776932,0.550663,0.704807,0.970307,0.874463,0.987814,0.900587,0.696641,4.240622,0.000000,1.355125,1.694276,1.503934
1998,Persons,Incidence,Acute lymphoblastic leukaemia,5.991817,3.852403,1.758967,1.956642,1.140995,0.687003,0.711881,0.469372,0.863226,0.691177,0.949558,1.481365,1.215769,2.056815,2.272971,0.642508,4.120681,1.787534,0.000000,1.704125,2.047536,1.849990
1999,Persons,Incidence,Acute lymphoblastic leukaemia,6.642270,2.697864,2.355659,2.165644,0.542363,0.550830,0.854298,0.599632,0.424693,0.681645,0.497863,0.873117,1.177152,0.887768,2.082789,1.836251,3.402009,1.683941,0.000000,1.566958,1.933833,1.725794
2000,Persons,Incidence,Acute lymphoblastic leukaemia,7.301402,2.907445,1.882204,1.900004,1.015742,0.347846,0.564089,0.534702,0.833055,0.374969,0.640131,1.148773,0.883222,1.634973,1.748218,0.991831,3.908617,2.787490,0.000000,1.601141,1.995506,1.766350
2001,Persons,Incidence,Acute lymphoblastic leukaemia,6.673550,4.245737,2.529715,1.194042,0.542581,0.860951,0.548847,0.472006,0.612176,0.666546,0.774003,1.197630,0.489915,0.737574,0.788565,2.326267,1.220186,2.277541,0.000000,1.566613,1.995647,1.761736
2002,Persons,Incidence,Acute lymphoblastic leukaemia,5.909970,4.037591,2.135284,1.109540,0.532043,0.806568,0.737913,0.272834,0.466491,0.437731,1.164329,0.649408,1.906387,1.586253,1.109092,2.292899,2.607509,2.935220,0.000000,1.565212,1.907837,1.703656
2003,Persons,Incidence,Acute lymphoblastic leukaemia,7.721789,4.136327,1.969579,1.690719,0.814808,0.148224,0.463899,0.275518,0.788967,0.429899,1.079100,0.611791,1.161336,1.405193,1.759496,1.502717,1.930129,3.220462,0.000000,1.642547,2.107220,1.837485
2004,Persons,Incidence,Acute lymphoblastic leukaemia,9.132593,3.548474,2.174646,1.315896,1.013959,0.595363,0.530117,0.688995,0.588146,0.491464,1.068689,0.674005,1.005227,0.955404,1.611006,1.853506,2.107165,2.095865,0.000000,1.726804,2.252613,1.953894
2005,Persons,Incidence,Acute lymphoblastic leukaemia,5.557560,3.255009,2.671845,1.667232,0.777579,0.739343,0.399862,0.817217,0.261841,0.344568,0.754457,0.978438,0.534596,1.457214,2.099802,1.471051,2.041400,1.985499,0.000000,1.484501,1.832490,1.643140
