,Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate
2001 Australian Standard Population 
(per 100,000)","Age-standardised rate
2023 Australian population 
(per 100,000)",Unnamed: 8,ICD-10 codes
73,Incidence,Melanoma of the skin,1984.0,Persons,Victoria,745,20.4,22.8, ,C43
74,Incidence,Melanoma of the skin,1984.0,Persons,Queensland,1039,48.4,54.2, ,C43
75,Incidence,Melanoma of the skin,1984.0,Persons,Western Australia,347,29.8,33.5, ,C43
76,Incidence,Melanoma of the skin,1984.0,Persons,South Australia,284,22.8,25.6, ,C43
77,Incidence,Melanoma of the skin,1984.0,Persons,Tasmania,66,18.1,20.9, ,C43
78,Incidence,Melanoma of the skin,1984.0,Persons,Australian Capital Territory,. .,. .,. ., ,C43
79,Incidence,Melanoma of the skin,1984.0,Persons,Northern Territory,. .,. .,. ., ,C43
80,Incidence,Melanoma of the skin,1984.0,Persons,Australia,4044,29.6,33.2, ,C43
81,Incidence,Melanoma of the skin,1985.0,Males,New South Wales,831,36,41.9, ,C43
82,Incidence,Melanoma of the skin,1985.0,Males,Victoria,396,23.2,26.6, ,C43
83,Incidence,Melanoma of the skin,1985.0,Males,Queensland,547,51.4,60, ,C43
84,Incidence,Melanoma of the skin,1985.0,Males,Western Australia,212,38.7,44.7, ,C43
85,Incidence,Melanoma of the skin,1985.0,Males,South Australia,165,27.1,30.6, ,C43
86,Incidence,Melanoma of the skin,1985.0,Males,Tasmania,31,16,18.3, ,C43
87,Incidence,Melanoma of the skin,1985.0,Males,Australian Capital Territory,. .,. .,. ., ,C43
88,Incidence,Melanoma of the skin,1985.0,Males,Northern Territory,. .,. .,. ., ,C43
89,Incidence,Melanoma of the skin,1985.0,Males,Australia,2224,33.9,39.2, ,C43
90,Incidence,Melanoma of the skin,1985.0,Females,New South Wales,780,30,32.8, ,C43
91,Incidence,Melanoma of the skin,1985.0,Females,Victoria,472,24.6,26.7, ,C43
92,Incidence,Melanoma of the skin,1985.0,Females,Queensland,540,46.9,50.6, ,C43
93,Incidence,Melanoma of the skin,1985.0,Females,Western Australia,208,34.3,37, ,C43
94,Incidence,Melanoma of the skin,1985.0,Females,South Australia,198,29.9,33.4, ,C43
95,Incidence,Melanoma of the skin,1985.0,Females,Tasmania,49,24.5,26.2, ,C43
96,Incidence,Melanoma of the skin,1985.0,Females,Australian Capital Territory,. .,. .,. ., ,C43
97,Incidence,Melanoma of the skin,1985.0,Females,Northern Territory,. .,. .,. ., ,C43
98,Incidence,Melanoma of the skin,1985.0,Females,Australia,2288,31.4,34.1, ,C43
99,Incidence,Melanoma of the skin,1985.0,Persons,New South Wales,1611,32.3,36.5, ,C43
100,Incidence,Melanoma of the skin,1985.0,Persons,Victoria,868,23.6,26.2, ,C43
101,Incidence,Melanoma of the skin,1985.0,Persons,Queensland,1087,48.4,54.2, ,C43
102,Incidence,Melanoma of the skin,1985.0,Persons,Western Australia,420,35.8,39.9, ,C43
103,Incidence,Melanoma of the skin,1985.0,Persons,South Australia,363,28.6,32.2, ,C43
104,Incidence,Melanoma of the skin,1985.0,Persons,Tasmania,80,20.4,22.5, ,C43
105,Incidence,Melanoma of the skin,1985.0,Persons,Australian Capital Territory,. .,. .,. ., ,C43
106,Incidence,Melanoma of the skin,1985.0,Persons,Northern Territory,. .,. .,. ., ,C43
107,Incidence,Melanoma of the skin,1985.0,Persons,Australia,4512,32.1,36, ,C43
108,Incidence,Melanoma of the skin,1986.0,Males,New South Wales,915,38.4,44.6, ,C43
109,Incidence,Melanoma of the skin,1986.0,Males,Victoria,376,21.2,24.3, ,C43
110,Incidence,Melanoma of the skin,1986.0,Males,Queensland,639,58.9,68.2, ,C43
111,Incidence,Melanoma of the skin,1986.0,Males,Western Australia,226,38.8,44.6, ,C43
112,Incidence,Melanoma of the skin,1986.0,Males,South Australia,168,27.4,31.9, ,C43
113,Incidence,Melanoma of the skin,1986.0,Males,Tasmania,33,17.6,19.4, ,C43
114,Incidence,Melanoma of the skin,1986.0,Males,Australian Capital Territory,30,32.8,36.1, ,C43
115,Incidence,Melanoma of the skin,1986.0,Males,Northern Territory,6,13.5,15, ,C43
116,Incidence,Melanoma of the skin,1986.0,Males,Australia,2404,35.6,41.2, ,C43
117,Incidence,Melanoma of the skin,1986.0,Females,New South Wales,787,29.9,33, ,C43
118,Incidence,Melanoma of the skin,1986.0,Females,Victoria,452,23,25.5, ,C43
119,Incidence,Melanoma of the skin,1986.0,Females,Queensland,598,50.7,54.7, ,C43
120,Incidence,Melanoma of the skin,1986.0,Females,Western Australia,184,28.4,30.4, ,C43
121,Incidence,Melanoma of the skin,1986.0,Females,South Australia,188,28.4,31.1, ,C43
122,Incidence,Melanoma of the skin,1986.0,Females,Tasmania,54,26.7,28.8, ,C43
123,Incidence,Melanoma of the skin,1986.0,Females,Australian Capital Territory,27,25.9,26.9, ,C43
124,Incidence,Melanoma of the skin,1986.0,Females,Northern Territory,5,10.1,10.2, ,C43
125,Incidence,Melanoma of the skin,1986.0,Females,Australia,2305,31.1,33.9, ,C43
126,Incidence,Melanoma of the skin,1986.0,Persons,New South Wales,1702,33.5,37.9, ,C43
127,Incidence,Melanoma of the skin,1986.0,Persons,Victoria,828,22,24.8, ,C43
128,Incidence,Melanoma of the skin,1986.0,Persons,Queensland,1237,53.9,60.1, ,C43
129,Incidence,Melanoma of the skin,1986.0,Persons,Western Australia,410,33,36.7, ,C43
130,Incidence,Melanoma of the skin,1986.0,Persons,South Australia,356,27.6,31.1, ,C43
131,Incidence,Melanoma of the skin,1986.0,Persons,Tasmania,87,22.1,24.1, ,C43
132,Incidence,Melanoma of the skin,1986.0,Persons,Australian Capital Territory,57,28.9,30.9, ,C43
133,Incidence,Melanoma of the skin,1986.0,Persons,Northern Territory,11,11.9,12.8, ,C43
134,Incidence,Melanoma of the skin,1986.0,Persons,Australia,4709,32.8,36.8, ,C43
135,Incidence,Melanoma of the skin,1987.0,Males,New South Wales,1105,45,51.9, ,C43
136,Incidence,Melanoma of the skin,1987.0,Males,Victoria,481,26.1,29.4, ,C43
137,Incidence,Melanoma of the skin,1987.0,Males,Queensland,738,65.1,75.6, ,C43
138,Incidence,Melanoma of the skin,1987.0,Males,Western Australia,267,44.3,51.2, ,C43
139,Incidence,Melanoma of the skin,1987.0,Males,South Australia,185,30.4,35.6, ,C43
140,Incidence,Melanoma of the skin,1987.0,Males,Tasmania,45,21.9,24.3, ,C43
141,Incidence,Melanoma of the skin,1987.0,Males,Australian Capital Territory,36,37.5,41, ,C43
142,Incidence,Melanoma of the skin,1987.0,Males,Northern Territory,8,15.9,17.6, ,C43
143,Incidence,Melanoma of the skin,1987.0,Males,Australia,2877,41.2,47.4, ,C43
144,Incidence,Melanoma of the skin,1987.0,Females,New South Wales,1004,37.4,40.8, ,C43
145,Incidence,Melanoma of the skin,1987.0,Females,Victoria,516,25.9,28.4, ,C43
146,Incidence,Melanoma of the skin,1987.0,Females,Queensland,629,51.3,55.8, ,C43
147,Incidence,Melanoma of the skin,1987.0,Females,Western Australia,214,32.1,34.6, ,C43
148,Incidence,Melanoma of the skin,1987.0,Females,South Australia,201,29.3,33, ,C43
149,Incidence,Melanoma of the skin,1987.0,Females,Tasmania,68,33.1,35, ,C43
150,Incidence,Melanoma of the skin,1987.0,Females,Australian Capital Territory,33,30.6,31.6, ,C43
151,Incidence,Melanoma of the skin,1987.0,Females,Northern Territory,5,9,9, ,C43
152,Incidence,Melanoma of the skin,1987.0,Females,Australia,2685,35.3,38.5, ,C43
153,Incidence,Melanoma of the skin,1987.0,Persons,New South Wales,2109,40.6,45.5, ,C43
154,Incidence,Melanoma of the skin,1987.0,Persons,Victoria,997,25.9,28.9, ,C43
155,Incidence,Melanoma of the skin,1987.0,Persons,Queensland,1367,57.2,64.2, ,C43
156,Incidence,Melanoma of the skin,1987.0,Persons,Western Australia,481,37.6,41.9, ,C43
157,Incidence,Melanoma of the skin,1987.0,Persons,South Australia,386,29.6,34.1, ,C43
158,Incidence,Melanoma of the skin,1987.0,Persons,Tasmania,113,27.5,29.6, ,C43
159,Incidence,Melanoma of the skin,1987.0,Persons,Australian Capital Territory,69,33.6,35.7, ,C43
160,Incidence,Melanoma of the skin,1987.0,Persons,Northern Territory,13,12.8,13.8, ,C43
161,Incidence,Melanoma of the skin,1987.0,Persons,Australia,5562,37.8,42.3, ,C43
162,Incidence,Melanoma of the skin,1988.0,Males,New South Wales,1226,49.8,57.9, ,C43
163,Incidence,Melanoma of the skin,1988.0,Males,Victoria,562,31.4,35.7, ,C43
164,Incidence,Melanoma of the skin,1988.0,Males,Queensland,753,64.8,74.3, ,C43
165,Incidence,Melanoma of the skin,1988.0,Males,Western Australia,298,48.5,57.7, ,C43
166,Incidence,Melanoma of the skin,1988.0,Males,South Australia,231,37.9,42.9, ,C43
167,Incidence,Melanoma of the skin,1988.0,Males,Tasmania,62,30.7,34.3, ,C43
168,Incidence,Melanoma of the skin,1988.0,Males,Australian Capital Territory,40,42.5,46.9, ,C43
169,Incidence,Melanoma of the skin,1988.0,Males,Northern Territory,10,17.7,19.2, ,C43
170,Incidence,Melanoma of the skin,1988.0,Males,Australia,3199,45.7,52.7, ,C43
171,Incidence,Melanoma of the skin,1988.0,Females,New South Wales,1042,37.8,41.8, ,C43
172,Incidence,Melanoma of the skin,1988.0,Females,Victoria,564,27.5,30.2, ,C43
173,Incidence,Melanoma of the skin,1988.0,Females,Queensland,615,48.5,52.9, ,C43
174,Incidence,Melanoma of the skin,1988.0,Females,Western Australia,250,37.7,41.1, ,C43
175,Incidence,Melanoma of the skin,1988.0,Females,South Australia,227,33,36.1, ,C43
176,Incidence,Melanoma of the skin,1988.0,Females,Tasmania,68,32.4,35.7, ,C43
177,Incidence,Melanoma of the skin,1988.0,Females,Australian Capital Territory,35,33.2,34.9, ,C43
178,Incidence,Melanoma of the skin,1988.0,Females,Northern Territory,8,14.8,15.8, ,C43
179,Incidence,Melanoma of the skin,1988.0,Females,Australia,2820,36.1,39.7, ,C43
180,Incidence,Melanoma of the skin,1988.0,Persons,New South Wales,2268,42.9,48.6, ,C43
181,Incidence,Melanoma of the skin,1988.0,Persons,Victoria,1126,28.9,32.2, ,C43
182,Incidence,Melanoma of the skin,1988.0,Persons,Queensland,1368,56,62.6, ,C43
183,Incidence,Melanoma of the skin,1988.0,Persons,Western Australia,548,42,47.7, ,C43
184,Incidence,Melanoma of the skin,1988.0,Persons,South Australia,458,34.9,38.7, ,C43
185,Incidence,Melanoma of the skin,1988.0,Persons,Tasmania,130,31.8,35.3, ,C43
186,Incidence,Melanoma of the skin,1988.0,Persons,Australian Capital Territory,76,37.3,40.2, ,C43
187,Incidence,Melanoma of the skin,1988.0,Persons,Northern Territory,17,17,18.5, ,C43
188,Incidence,Melanoma of the skin,1988.0,Persons,Australia,6019,40.2,45.2, ,C43
189,Incidence,Melanoma of the skin,1989.0,Males,New South Wales,1215,48.3,56.8, ,C43
190,Incidence,Melanoma of the skin,1989.0,Males,Victoria,548,29.9,35.2, ,C43
191,Incidence,Melanoma of the skin,1989.0,Males,Queensland,746,62.8,72.8, ,C43
192,Incidence,Melanoma of the skin,1989.0,Males,Western Australia,263,41.9,49.7, ,C43
193,Incidence,Melanoma of the skin,1989.0,Males,South Australia,236,38.7,45.7, ,C43
194,Incidence,Melanoma of the skin,1989.0,Males,Tasmania,53,28.1,32.1, ,C43
195,Incidence,Melanoma of the skin,1989.0,Males,Australian Capital Territory,41,42,46.5, ,C43
196,Incidence,Melanoma of the skin,1989.0,Males,Northern Territory,11,18.8,20.5, ,C43
197,Incidence,Melanoma of the skin,1989.0,Males,Australia,3109,43.7,51.3, ,C43
198,Incidence,Melanoma of the skin,1989.0,Females,New South Wales,892,31.9,35.1, ,C43
199,Incidence,Melanoma of the skin,1989.0,Females,Victoria,561,27,30, ,C43
200,Incidence,Melanoma of the skin,1989.0,Females,Queensland,638,49.5,54.6, ,C43
201,Incidence,Melanoma of the skin,1989.0,Females,Western Australia,222,31.3,34.9, ,C43
202,Incidence,Melanoma of the skin,1989.0,Females,South Australia,199,28.4,30.9, ,C43
203,Incidence,Melanoma of the skin,1989.0,Females,Tasmania,62,27.3,29.7, ,C43
204,Incidence,Melanoma of the skin,1989.0,Females,Australian Capital Territory,38,34.6,36.6, ,C43
205,Incidence,Melanoma of the skin,1989.0,Females,Northern Territory,8,15.3,16.2, ,C43
206,Incidence,Melanoma of the skin,1989.0,Females,Australia,2617,32.9,36.2, ,C43
207,Incidence,Melanoma of the skin,1989.0,Persons,New South Wales,2107,39,44.5, ,C43
208,Incidence,Melanoma of the skin,1989.0,Persons,Victoria,1109,27.9,31.8, ,C43
209,Incidence,Melanoma of the skin,1989.0,Persons,Queensland,1384,55.4,62.5, ,C43
210,Incidence,Melanoma of the skin,1989.0,Persons,Western Australia,485,35.9,41.3, ,C43
211,Incidence,Melanoma of the skin,1989.0,Persons,South Australia,435,32.4,36.7, ,C43
212,Incidence,Melanoma of the skin,1989.0,Persons,Tasmania,115,27.2,29.9, ,C43
213,Incidence,Melanoma of the skin,1989.0,Persons,Australian Capital Territory,79,37.8,40.8, ,C43
214,Incidence,Melanoma of the skin,1989.0,Persons,Northern Territory,19,17.7,19.2, ,C43
215,Incidence,Melanoma of the skin,1989.0,Persons,Australia,5726,37.4,42.5, ,C43
216,Incidence,Melanoma of the skin,1990.0,Males,New South Wales,1168,46.8,55.4, ,C43
217,Incidence,Melanoma of the skin,1990.0,Males,Victoria,579,31.4,36.3, ,C43
218,Incidence,Melanoma of the skin,1990.0,Males,Queensland,765,62.9,73.8, ,C43
219,Incidence,Melanoma of the skin,1990.0,Males,Western Australia,297,45.9,53.9, ,C43
220,Incidence,Melanoma of the skin,1990.0,Males,South Australia,221,33.6,37.3, ,C43
221,Incidence,Melanoma of the skin,1990.0,Males,Tasmania,66,32.1,36.9, ,C43
222,Incidence,Melanoma of the skin,1990.0,Males,Australian Capital Territory,42,44.6,50.8, ,C43
223,Incidence,Melanoma of the skin,1990.0,Males,Northern Territory,13,25.7,28.7, ,C43
224,Incidence,Melanoma of the skin,1990.0,Males,Australia,3151,43.7,51.1, ,C43
225,Incidence,Melanoma of the skin,1990.0,Females,New South Wales,944,33.1,36.9, ,C43
226,Incidence,Melanoma of the skin,1990.0,Females,Victoria,522,24.9,27.7, ,C43
227,Incidence,Melanoma of the skin,1990.0,Females,Queensland,630,47.3,52.5, ,C43
228,Incidence,Melanoma of the skin,1990.0,Females,Western Australia,216,31,34.8, ,C43
229,Incidence,Melanoma of the skin,1990.0,Females,South Australia,247,34,38.1, ,C43
230,Incidence,Melanoma of the skin,1990.0,Females,Tasmania,85,38,42, ,C43
231,Incidence,Melanoma of the skin,1990.0,Females,Australian Capital Territory,38,34.2,36.6, ,C43
232,Incidence,Melanoma of the skin,1990.0,Females,Northern Territory,9,15.1,15.9, ,C43
233,Incidence,Melanoma of the skin,1990.0,Females,Australia,2687,33.1,37, ,C43
234,Incidence,Melanoma of the skin,1990.0,Persons,New South Wales,2112,38.9,44.6, ,C43
235,Incidence,Melanoma of the skin,1990.0,Persons,Victoria,1101,27.6,31.4, ,C43
236,Incidence,Melanoma of the skin,1990.0,Persons,Queensland,1395,54.1,61.6, ,C43
237,Incidence,Melanoma of the skin,1990.0,Persons,Western Australia,513,37.8,43.5, ,C43
238,Incidence,Melanoma of the skin,1990.0,Persons,South Australia,468,33.9,38, ,C43
239,Incidence,Melanoma of the skin,1990.0,Persons,Tasmania,151,34.8,39.2, ,C43
240,Incidence,Melanoma of the skin,1990.0,Persons,Australian Capital Territory,80,38.6,42.7, ,C43
241,Incidence,Melanoma of the skin,1990.0,Persons,Northern Territory,22,20.9,22.9, ,C43
242,Incidence,Melanoma of the skin,1990.0,Persons,Australia,5838,37.7,43, ,C43
243,Incidence,Melanoma of the skin,1991.0,Males,New South Wales,1151,44.9,53, ,C43
244,Incidence,Melanoma of the skin,1991.0,Males,Victoria,558,28.8,33.3, ,C43
245,Incidence,Melanoma of the skin,1991.0,Males,Queensland,771,60.5,70, ,C43
246,Incidence,Melanoma of the skin,1991.0,Males,Western Australia,336,51.1,59.5, ,C43
247,Incidence,Melanoma of the skin,1991.0,Males,South Australia,235,38.6,46, ,C43
248,Incidence,Melanoma of the skin,1991.0,Males,Tasmania,75,37.7,44.3, ,C43
249,Incidence,Melanoma of the skin,1991.0,Males,Australian Capital Territory,42,44.3,51, ,C43
250,Incidence,Melanoma of the skin,1991.0,Males,Northern Territory,15,29.1,32.4, ,C43
251,Incidence,Melanoma of the skin,1991.0,Males,Australia,3185,43.1,50.4, ,C43
252,Incidence,Melanoma of the skin,1991.0,Females,New South Wales,959,33.2,36.9, ,C43
253,Incidence,Melanoma of the skin,1991.0,Females,Victoria,571,26.5,29.6, ,C43
254,Incidence,Melanoma of the skin,1991.0,Females,Queensland,644,46.5,51.3, ,C43
255,Incidence,Melanoma of the skin,1991.0,Females,Western Australia,268,36.9,41.2, ,C43
256,Incidence,Melanoma of the skin,1991.0,Females,South Australia,225,30.7,34.5, ,C43
257,Incidence,Melanoma of the skin,1991.0,Females,Tasmania,68,31.4,33.8, ,C43
258,Incidence,Melanoma of the skin,1991.0,Females,Australian Capital Territory,38,32.6,35.4, ,C43
259,Incidence,Melanoma of the skin,1991.0,Females,Northern Territory,10,18.2,20.4, ,C43
260,Incidence,Melanoma of the skin,1991.0,Females,Australia,2782,33.6,37.3, ,C43
261,Incidence,Melanoma of the skin,1991.0,Persons,New South Wales,2110,38.1,43.7, ,C43
262,Incidence,Melanoma of the skin,1991.0,Persons,Victoria,1129,27.4,31.1, ,C43
263,Incidence,Melanoma of the skin,1991.0,Persons,Queensland,1415,52.9,59.7, ,C43
264,Incidence,Melanoma of the skin,1991.0,Persons,Western Australia,604,43.1,49.1, ,C43
265,Incidence,Melanoma of the skin,1991.0,Persons,South Australia,460,33.5,38.5, ,C43
266,Incidence,Melanoma of the skin,1991.0,Persons,Tasmania,143,34,38.3, ,C43
267,Incidence,Melanoma of the skin,1991.0,Persons,Australian Capital Territory,79,37.5,42, ,C43
268,Incidence,Melanoma of the skin,1991.0,Persons,Northern Territory,26,24.4,27.4, ,C43
269,Incidence,Melanoma of the skin,1991.0,Persons,Australia,5967,37.7,42.9, ,C43
270,Incidence,Melanoma of the skin,1992.0,Males,New South Wales,1200,45.7,54.5, ,C43
271,Incidence,Melanoma of the skin,1992.0,Males,Victoria,711,37.4,44.3, ,C43
272,Incidence,Melanoma of the skin,1992.0,Males,Queensland,886,68.9,81.6, ,C43
273,Incidence,Melanoma of the skin,1992.0,Males,Western Australia,357,53.1,63.6, ,C43
274,Incidence,Melanoma of the skin,1992.0,Males,South Australia,296,45.5,53.4, ,C43
275,Incidence,Melanoma of the skin,1992.0,Males,Tasmania,69,31,34.9, ,C43
276,Incidence,Melanoma of the skin,1992.0,Males,Australian Capital Territory,40,44,52.3, ,C43
277,Incidence,Melanoma of the skin,1992.0,Males,Northern Territory,19,39.8,46, ,C43
278,Incidence,Melanoma of the skin,1992.0,Males,Australia,3586,47.8,56.7, ,C43
279,Incidence,Melanoma of the skin,1992.0,Females,New South Wales,978,33.5,37.4, ,C43
280,Incidence,Melanoma of the skin,1992.0,Females,Victoria,667,30.2,34.1, ,C43
281,Incidence,Melanoma of the skin,1992.0,Females,Queensland,687,48.9,54.5, ,C43
282,Incidence,Melanoma of the skin,1992.0,Females,Western Australia,254,33.4,37.5, ,C43
283,Incidence,Melanoma of the skin,1992.0,Females,South Australia,286,38.4,42.9, ,C43
284,Incidence,Melanoma of the skin,1992.0,Females,Tasmania,58,25.2,27.7, ,C43
285,Incidence,Melanoma of the skin,1992.0,Females,Australian Capital Territory,36,30.7,33.5, ,C43
286,Incidence,Melanoma of the skin,1992.0,Females,Northern Territory,12,19.2,21, ,C43
287,Incidence,Melanoma of the skin,1992.0,Females,Australia,2980,35.4,39.6, ,C43
288,Incidence,Melanoma of the skin,1992.0,Persons,New South Wales,2178,38.8,44.9, ,C43
289,Incidence,Melanoma of the skin,1992.0,Persons,Victoria,1378,33.1,38.1, ,C43
290,Incidence,Melanoma of the skin,1992.0,Persons,Queensland,1573,57.7,66.3, ,C43
291,Incidence,Melanoma of the skin,1992.0,Persons,Western Australia,611,41.9,48.5, ,C43
292,Incidence,Melanoma of the skin,1992.0,Persons,South Australia,582,41.3,47.1, ,C43
293,Incidence,Melanoma of the skin,1992.0,Persons,Tasmania,127,28,31.2, ,C43
294,Incidence,Melanoma of the skin,1992.0,Persons,Australian Capital Territory,76,36,41, ,C43
295,Incidence,Melanoma of the skin,1992.0,Persons,Northern Territory,31,30.2,34.4, ,C43
296,Incidence,Melanoma of the skin,1992.0,Persons,Australia,6566,40.7,46.8, ,C43
297,Incidence,Melanoma of the skin,1993.0,Males,New South Wales,1428,54,64.7, ,C43
298,Incidence,Melanoma of the skin,1993.0,Males,Victoria,653,34.1,41.5, ,C43
