,Year,Sex,Age range (years),Risk of diagnosis (%),Risk of diagnosis (1 in X),Risk of death (%),Risk of death (1 in X),ICD10 codes,Cumulative number of people diagnosed,Cumulative number of deaths
59,2002,Females,Lifetime,0.042656,23,0.004146,241,C43,4237,329
60,2003,Females,Lifetime,0.040275,25,0.004659,215,C43,4030,382
61,2004,Females,Lifetime,0.042365,24,0.004687,213,C43,4272,384
62,2005,Females,Lifetime,0.046527,21,0.005123,195,C43,4692,413
63,2006,Females,Lifetime,0.042949,23,0.005454,183,C43,4319,455
64,2007,Females,Lifetime,0.042094,24,0.004999,200,C43,4411,425
65,2008,Females,Lifetime,0.04313,23,0.005239,191,C43,4604,455
66,2009,Females,Lifetime,0.04442,23,0.005252,190,C43,4710,465
67,2010,Females,Lifetime,0.043854,23,0.004927,203,C43,4714,448
68,2011,Females,Lifetime,0.044597,22,0.005231,191,C43,4856,470
69,2012,Females,Lifetime,0.045944,22,0.00554,181,C43,5094,496
70,2013,Females,Lifetime,0.048221,21,0.005419,185,C43,5354,502
71,2014,Females,Lifetime,0.04803,21,0.005149,194,C43,5499,484
72,2015,Females,Lifetime,0.049297,20,0.005268,190,C43,5717,502
73,2016,Females,Lifetime,0.051193,20,0.004667,214,C43,6028,424
74,2017,Females,Lifetime,0.051175,20,0.005414,185,C43,6105,514
75,2018,Females,Lifetime,0.05291,19,0.004937,203,C43,6312,464
76,2019,Females,Lifetime,0.053503,19,0.005088,197,C43,6527,484
77,2020,Females,Lifetime,0.054553,18,0.005081,197,C43,6740,484
