,Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate
(per 100,000)","Age-standardised rate
2001 Australian Standard Population (per 100,000)","Age-standardised rate
2023 Australian population 
(per 100,000)","Age-standardised rate
 (WHO) (per 100,000)","Age-standardised rate
 (Segi) (per 100,000)",ICD10 codes
17,Actual,Melanoma of the skin,1982,Males,85_89,14.0,67.3,. .,. .,. .,. .,C43
18,Actual,Melanoma of the skin,1982,Males,90+,4.0,52.2,. .,. .,. .,. .,C43
19,Actual,Melanoma of the skin,1982,Males,All ages combined,1736.0,22.9,27.9,31.9,22.8,20.8,C43
20,Actual,Melanoma of the skin,1983,Males,00_04,1.0,0.2,. .,. .,. .,. .,C43
21,Actual,Melanoma of the skin,1983,Males,05_09,2.0,0.3,. .,. .,. .,. .,C43
22,Actual,Melanoma of the skin,1983,Males,10_14,4.0,0.6,. .,. .,. .,. .,C43
23,Actual,Melanoma of the skin,1983,Males,15_19,27.0,4.1,. .,. .,. .,. .,C43
24,Actual,Melanoma of the skin,1983,Males,20_24,51.0,7.5,. .,. .,. .,. .,C43
25,Actual,Melanoma of the skin,1983,Males,25_29,77.0,12.0,. .,. .,. .,. .,C43
26,Actual,Melanoma of the skin,1983,Males,30_34,125.0,20.0,. .,. .,. .,. .,C43
27,Actual,Melanoma of the skin,1983,Males,35_39,135.0,23.2,. .,. .,. .,. .,C43
28,Actual,Melanoma of the skin,1983,Males,40_44,126.0,27.6,. .,. .,. .,. .,C43
29,Actual,Melanoma of the skin,1983,Males,45_49,139.0,35.4,. .,. .,. .,. .,C43
30,Actual,Melanoma of the skin,1983,Males,50_54,172.0,44.6,. .,. .,. .,. .,C43
31,Actual,Melanoma of the skin,1983,Males,55_59,203.0,53.5,. .,. .,. .,. .,C43
32,Actual,Melanoma of the skin,1983,Males,60_64,228.0,71.4,. .,. .,. .,. .,C43
33,Actual,Melanoma of the skin,1983,Males,65_69,203.0,80.6,. .,. .,. .,. .,C43
34,Actual,Melanoma of the skin,1983,Males,70_74,155.0,81.4,. .,. .,. .,. .,C43
35,Actual,Melanoma of the skin,1983,Males,75_79,108.0,93.5,. .,. .,. .,. .,C43
36,Actual,Melanoma of the skin,1983,Males,80_84,38.0,65.8,. .,. .,. .,. .,C43
37,Actual,Melanoma of the skin,1983,Males,85_89,16.0,75.6,. .,. .,. .,. .,C43
38,Actual,Melanoma of the skin,1983,Males,90+,10.0,127.2,. .,. .,. .,. .,C43
39,Actual,Melanoma of the skin,1983,Males,All ages combined,1820.0,23.7,28.8,33.3,23.4,21.4,C43
40,Actual,Melanoma of the skin,1984,Males,00_04,0.0,0.0,. .,. .,. .,. .,C43
41,Actual,Melanoma of the skin,1984,Males,05_09,1.0,0.2,. .,. .,. .,. .,C43
42,Actual,Melanoma of the skin,1984,Males,10_14,4.0,0.6,. .,. .,. .,. .,C43
43,Actual,Melanoma of the skin,1984,Males,15_19,35.0,5.3,. .,. .,. .,. .,C43
44,Actual,Melanoma of the skin,1984,Males,20_24,55.0,8.0,. .,. .,. .,. .,C43
45,Actual,Melanoma of the skin,1984,Males,25_29,92.0,14.1,. .,. .,. .,. .,C43
46,Actual,Melanoma of the skin,1984,Males,30_34,111.0,17.7,. .,. .,. .,. .,C43
47,Actual,Melanoma of the skin,1984,Males,35_39,133.0,22.1,. .,. .,. .,. .,C43
48,Actual,Melanoma of the skin,1984,Males,40_44,158.0,33.2,. .,. .,. .,. .,C43
49,Actual,Melanoma of the skin,1984,Males,45_49,155.0,38.3,. .,. .,. .,. .,C43
50,Actual,Melanoma of the skin,1984,Males,50_54,192.0,50.5,. .,. .,. .,. .,C43
51,Actual,Melanoma of the skin,1984,Males,55_59,209.0,54.6,. .,. .,. .,. .,C43
52,Actual,Melanoma of the skin,1984,Males,60_64,222.0,66.2,. .,. .,. .,. .,C43
53,Actual,Melanoma of the skin,1984,Males,65_69,224.0,89.8,. .,. .,. .,. .,C43
54,Actual,Melanoma of the skin,1984,Males,70_74,196.0,98.5,. .,. .,. .,. .,C43
55,Actual,Melanoma of the skin,1984,Males,75_79,120.0,99.6,. .,. .,. .,. .,C43
56,Actual,Melanoma of the skin,1984,Males,80_84,54.0,88.4,. .,. .,. .,. .,C43
57,Actual,Melanoma of the skin,1984,Males,85_89,24.0,109.5,. .,. .,. .,. .,C43
58,Actual,Melanoma of the skin,1984,Males,90+,7.0,84.5,. .,. .,. .,. .,C43
59,Actual,Melanoma of the skin,1984,Males,All ages combined,1994.0,25.6,31.2,36,25.2,23,C43
60,Actual,Melanoma of the skin,1985,Males,00_04,0.0,0.0,. .,. .,. .,. .,C43
61,Actual,Melanoma of the skin,1985,Males,05_09,0.0,0.0,. .,. .,. .,. .,C43
62,Actual,Melanoma of the skin,1985,Males,10_14,2.0,0.3,. .,. .,. .,. .,C43
63,Actual,Melanoma of the skin,1985,Males,15_19,27.0,4.0,. .,. .,. .,. .,C43
64,Actual,Melanoma of the skin,1985,Males,20_24,59.0,8.6,. .,. .,. .,. .,C43
65,Actual,Melanoma of the skin,1985,Males,25_29,107.0,16.0,. .,. .,. .,. .,C43
66,Actual,Melanoma of the skin,1985,Males,30_34,139.0,22.2,. .,. .,. .,. .,C43
67,Actual,Melanoma of the skin,1985,Males,35_39,163.0,26.1,. .,. .,. .,. .,C43
68,Actual,Melanoma of the skin,1985,Males,40_44,168.0,33.9,. .,. .,. .,. .,C43
69,Actual,Melanoma of the skin,1985,Males,45_49,158.0,37.6,. .,. .,. .,. .,C43
70,Actual,Melanoma of the skin,1985,Males,50_54,196.0,52.3,. .,. .,. .,. .,C43
71,Actual,Melanoma of the skin,1985,Males,55_59,255.0,66.2,. .,. .,. .,. .,C43
72,Actual,Melanoma of the skin,1985,Males,60_64,264.0,76.6,. .,. .,. .,. .,C43
73,Actual,Melanoma of the skin,1985,Males,65_69,239.0,94.1,. .,. .,. .,. .,C43
74,Actual,Melanoma of the skin,1985,Males,70_74,213.0,103.8,. .,. .,. .,. .,C43
75,Actual,Melanoma of the skin,1985,Males,75_79,125.0,98.9,. .,. .,. .,. .,C43
76,Actual,Melanoma of the skin,1985,Males,80_84,68.0,107.2,. .,. .,. .,. .,C43
77,Actual,Melanoma of the skin,1985,Males,85_89,30.0,125.8,. .,. .,. .,. .,C43
78,Actual,Melanoma of the skin,1985,Males,90+,8.0,93.4,. .,. .,. .,. .,C43
79,Actual,Melanoma of the skin,1985,Males,All ages combined,2224.0,28.2,33.9,39.2,27.4,24.9,C43
80,Actual,Melanoma of the skin,1986,Males,00_04,1.0,0.2,. .,. .,. .,. .,C43
81,Actual,Melanoma of the skin,1986,Males,05_09,0.0,0.0,. .,. .,. .,. .,C43
82,Actual,Melanoma of the skin,1986,Males,10_14,7.0,1.0,. .,. .,. .,. .,C43
83,Actual,Melanoma of the skin,1986,Males,15_19,40.0,5.8,. .,. .,. .,. .,C43
84,Actual,Melanoma of the skin,1986,Males,20_24,62.0,9.1,. .,. .,. .,. .,C43
85,Actual,Melanoma of the skin,1986,Males,25_29,101.0,14.8,. .,. .,. .,. .,C43
86,Actual,Melanoma of the skin,1986,Males,30_34,156.0,24.5,. .,. .,. .,. .,C43
87,Actual,Melanoma of the skin,1986,Males,35_39,186.0,29.0,. .,. .,. .,. .,C43
88,Actual,Melanoma of the skin,1986,Males,40_44,190.0,36.5,. .,. .,. .,. .,C43
89,Actual,Melanoma of the skin,1986,Males,45_49,185.0,42.7,. .,. .,. .,. .,C43
90,Actual,Melanoma of the skin,1986,Males,50_54,196.0,52.0,. .,. .,. .,. .,C43
91,Actual,Melanoma of the skin,1986,Males,55_59,256.0,66.5,. .,. .,. .,. .,C43
92,Actual,Melanoma of the skin,1986,Males,60_64,285.0,81.1,. .,. .,. .,. .,C43
93,Actual,Melanoma of the skin,1986,Males,65_69,255.0,95.8,. .,. .,. .,. .,C43
94,Actual,Melanoma of the skin,1986,Males,70_74,219.0,104.6,. .,. .,. .,. .,C43
95,Actual,Melanoma of the skin,1986,Males,75_79,149.0,112.2,. .,. .,. .,. .,C43
96,Actual,Melanoma of the skin,1986,Males,80_84,77.0,116.1,. .,. .,. .,. .,C43
97,Actual,Melanoma of the skin,1986,Males,85_89,24.0,92.5,. .,. .,. .,. .,C43
98,Actual,Melanoma of the skin,1986,Males,90+,12.0,137.0,. .,. .,. .,. .,C43
99,Actual,Melanoma of the skin,1986,Males,All ages combined,2404.0,30.0,35.6,41.2,28.8,26.2,C43
100,Actual,Melanoma of the skin,1987,Males,00_04,1.0,0.2,. .,. .,. .,. .,C43
101,Actual,Melanoma of the skin,1987,Males,05_09,0.0,0.0,. .,. .,. .,. .,C43
102,Actual,Melanoma of the skin,1987,Males,10_14,7.0,1.1,. .,. .,. .,. .,C43
103,Actual,Melanoma of the skin,1987,Males,15_19,42.0,5.9,. .,. .,. .,. .,C43
104,Actual,Melanoma of the skin,1987,Males,20_24,76.0,11.3,. .,. .,. .,. .,C43
105,Actual,Melanoma of the skin,1987,Males,25_29,145.0,20.8,. .,. .,. .,. .,C43
106,Actual,Melanoma of the skin,1987,Males,30_34,191.0,29.4,. .,. .,. .,. .,C43
107,Actual,Melanoma of the skin,1987,Males,35_39,225.0,35.4,. .,. .,. .,. .,C43
108,Actual,Melanoma of the skin,1987,Males,40_44,242.0,43.0,. .,. .,. .,. .,C43
109,Actual,Melanoma of the skin,1987,Males,45_49,209.0,46.8,. .,. .,. .,. .,C43
110,Actual,Melanoma of the skin,1987,Males,50_54,222.0,57.7,. .,. .,. .,. .,C43
111,Actual,Melanoma of the skin,1987,Males,55_59,301.0,79.1,. .,. .,. .,. .,C43
112,Actual,Melanoma of the skin,1987,Males,60_64,343.0,96.5,. .,. .,. .,. .,C43
113,Actual,Melanoma of the skin,1987,Males,65_69,311.0,111.5,. .,. .,. .,. .,C43
114,Actual,Melanoma of the skin,1987,Males,70_74,260.0,122.1,. .,. .,. .,. .,C43
115,Actual,Melanoma of the skin,1987,Males,75_79,169.0,122.8,. .,. .,. .,. .,C43
116,Actual,Melanoma of the skin,1987,Males,80_84,99.0,140.7,. .,. .,. .,. .,C43
117,Actual,Melanoma of the skin,1987,Males,85_89,24.0,88.1,. .,. .,. .,. .,C43
118,Actual,Melanoma of the skin,1987,Males,90+,10.0,110.8,. .,. .,. .,. .,C43
119,Actual,Melanoma of the skin,1987,Males,All ages combined,2877.0,35.4,41.2,47.4,33.6,30.6,C43
120,Actual,Melanoma of the skin,1988,Males,00_04,0.0,0.0,. .,. .,. .,. .,C43
121,Actual,Melanoma of the skin,1988,Males,05_09,0.0,0.0,. .,. .,. .,. .,C43
122,Actual,Melanoma of the skin,1988,Males,10_14,4.0,0.6,. .,. .,. .,. .,C43
123,Actual,Melanoma of the skin,1988,Males,15_19,56.0,7.8,. .,. .,. .,. .,C43
124,Actual,Melanoma of the skin,1988,Males,20_24,90.0,13.4,. .,. .,. .,. .,C43
125,Actual,Melanoma of the skin,1988,Males,25_29,162.0,22.9,. .,. .,. .,. .,C43
126,Actual,Melanoma of the skin,1988,Males,30_34,189.0,28.5,. .,. .,. .,. .,C43
127,Actual,Melanoma of the skin,1988,Males,35_39,229.0,35.7,. .,. .,. .,. .,C43
128,Actual,Melanoma of the skin,1988,Males,40_44,265.0,44.5,. .,. .,. .,. .,C43
129,Actual,Melanoma of the skin,1988,Males,45_49,256.0,55.5,. .,. .,. .,. .,C43
130,Actual,Melanoma of the skin,1988,Males,50_54,287.0,72.9,. .,. .,. .,. .,C43
131,Actual,Melanoma of the skin,1988,Males,55_59,311.0,82.9,. .,. .,. .,. .,C43
132,Actual,Melanoma of the skin,1988,Males,60_64,351.0,97.2,. .,. .,. .,. .,C43
133,Actual,Melanoma of the skin,1988,Males,65_69,344.0,117.7,. .,. .,. .,. .,C43
134,Actual,Melanoma of the skin,1988,Males,70_74,281.0,132.1,. .,. .,. .,. .,C43
135,Actual,Melanoma of the skin,1988,Males,75_79,202.0,141.1,. .,. .,. .,. .,C43
136,Actual,Melanoma of the skin,1988,Males,80_84,96.0,130.1,. .,. .,. .,. .,C43
137,Actual,Melanoma of the skin,1988,Males,85_89,60.0,209.0,. .,. .,. .,. .,C43
138,Actual,Melanoma of the skin,1988,Males,90+,14.0,152.6,. .,. .,. .,. .,C43
139,Actual,Melanoma of the skin,1988,Males,All ages combined,3199.0,38.8,45.7,52.7,36.9,33.6,C43
140,Actual,Melanoma of the skin,1989,Males,00_04,1.0,0.2,. .,. .,. .,. .,C43
141,Actual,Melanoma of the skin,1989,Males,05_09,1.0,0.2,. .,. .,. .,. .,C43
142,Actual,Melanoma of the skin,1989,Males,10_14,12.0,1.9,. .,. .,. .,. .,C43
143,Actual,Melanoma of the skin,1989,Males,15_19,37.0,5.1,. .,. .,. .,. .,C43
144,Actual,Melanoma of the skin,1989,Males,20_24,66.0,9.7,. .,. .,. .,. .,C43
145,Actual,Melanoma of the skin,1989,Males,25_29,110.0,15.3,. .,. .,. .,. .,C43
146,Actual,Melanoma of the skin,1989,Males,30_34,171.0,25.1,. .,. .,. .,. .,C43
147,Actual,Melanoma of the skin,1989,Males,35_39,214.0,33.0,. .,. .,. .,. .,C43
148,Actual,Melanoma of the skin,1989,Males,40_44,267.0,43.1,. .,. .,. .,. .,C43
149,Actual,Melanoma of the skin,1989,Males,45_49,244.0,50.6,. .,. .,. .,. .,C43
150,Actual,Melanoma of the skin,1989,Males,50_54,232.0,57.2,. .,. .,. .,. .,C43
151,Actual,Melanoma of the skin,1989,Males,55_59,273.0,73.6,. .,. .,. .,. .,C43
152,Actual,Melanoma of the skin,1989,Males,60_64,406.0,111.3,. .,. .,. .,. .,C43
153,Actual,Melanoma of the skin,1989,Males,65_69,360.0,117.3,. .,. .,. .,. .,C43
154,Actual,Melanoma of the skin,1989,Males,70_74,290.0,136.7,. .,. .,. .,. .,C43
155,Actual,Melanoma of the skin,1989,Males,75_79,223.0,148.9,. .,. .,. .,. .,C43
156,Actual,Melanoma of the skin,1989,Males,80_84,132.0,171.3,. .,. .,. .,. .,C43
157,Actual,Melanoma of the skin,1989,Males,85_89,53.0,173.8,. .,. .,. .,. .,C43
158,Actual,Melanoma of the skin,1989,Males,90+,15.0,158.1,. .,. .,. .,. .,C43
159,Actual,Melanoma of the skin,1989,Males,All ages combined,3109.0,37.1,43.7,51.3,34.7,31.5,C43
160,Actual,Melanoma of the skin,1990,Males,00_04,1.0,0.2,. .,. .,. .,. .,C43
161,Actual,Melanoma of the skin,1990,Males,05_09,1.0,0.2,. .,. .,. .,. .,C43
162,Actual,Melanoma of the skin,1990,Males,10_14,4.0,0.6,. .,. .,. .,. .,C43
163,Actual,Melanoma of the skin,1990,Males,15_19,47.0,6.6,. .,. .,. .,. .,C43
164,Actual,Melanoma of the skin,1990,Males,20_24,64.0,9.3,. .,. .,. .,. .,C43
165,Actual,Melanoma of the skin,1990,Males,25_29,116.0,16.2,. .,. .,. .,. .,C43
166,Actual,Melanoma of the skin,1990,Males,30_34,171.0,24.5,. .,. .,. .,. .,C43
167,Actual,Melanoma of the skin,1990,Males,35_39,195.0,29.7,. .,. .,. .,. .,C43
168,Actual,Melanoma of the skin,1990,Males,40_44,272.0,42.5,. .,. .,. .,. .,C43
169,Actual,Melanoma of the skin,1990,Males,45_49,250.0,49.7,. .,. .,. .,. .,C43
170,Actual,Melanoma of the skin,1990,Males,50_54,283.0,67.3,. .,. .,. .,. .,C43
171,Actual,Melanoma of the skin,1990,Males,55_59,270.0,73.6,. .,. .,. .,. .,C43
172,Actual,Melanoma of the skin,1990,Males,60_64,363.0,98.7,. .,. .,. .,. .,C43
173,Actual,Melanoma of the skin,1990,Males,65_69,348.0,110.9,. .,. .,. .,. .,C43
174,Actual,Melanoma of the skin,1990,Males,70_74,322.0,147.8,. .,. .,. .,. .,C43
175,Actual,Melanoma of the skin,1990,Males,75_79,235.0,152.1,. .,. .,. .,. .,C43
176,Actual,Melanoma of the skin,1990,Males,80_84,135.0,167.1,. .,. .,. .,. .,C43
177,Actual,Melanoma of the skin,1990,Males,85_89,60.0,190.2,. .,. .,. .,. .,C43
178,Actual,Melanoma of the skin,1990,Males,90+,14.0,139.6,. .,. .,. .,. .,C43
179,Actual,Melanoma of the skin,1990,Males,All ages combined,3151.0,37.0,43.7,51.1,34.6,31.3,C43
180,Actual,Melanoma of the skin,1991,Males,00_04,1.0,0.2,. .,. .,. .,. .,C43
181,Actual,Melanoma of the skin,1991,Males,05_09,1.0,0.2,. .,. .,. .,. .,C43
182,Actual,Melanoma of the skin,1991,Males,10_14,8.0,1.3,. .,. .,. .,. .,C43
183,Actual,Melanoma of the skin,1991,Males,15_19,53.0,7.6,. .,. .,. .,. .,C43
184,Actual,Melanoma of the skin,1991,Males,20_24,63.0,8.9,. .,. .,. .,. .,C43
185,Actual,Melanoma of the skin,1991,Males,25_29,127.0,18.1,. .,. .,. .,. .,C43
186,Actual,Melanoma of the skin,1991,Males,30_34,163.0,22.8,. .,. .,. .,. .,C43
187,Actual,Melanoma of the skin,1991,Males,35_39,202.0,30.4,. .,. .,. .,. .,C43
188,Actual,Melanoma of the skin,1991,Males,40_44,255.0,38.9,. .,. .,. .,. .,C43
189,Actual,Melanoma of the skin,1991,Males,45_49,264.0,50.1,. .,. .,. .,. .,C43
190,Actual,Melanoma of the skin,1991,Males,50_54,256.0,59.0,. .,. .,. .,. .,C43
191,Actual,Melanoma of the skin,1991,Males,55_59,281.0,76.5,. .,. .,. .,. .,C43
192,Actual,Melanoma of the skin,1991,Males,60_64,341.0,93.0,. .,. .,. .,. .,C43
193,Actual,Melanoma of the skin,1991,Males,65_69,361.0,112.8,. .,. .,. .,. .,C43
194,Actual,Melanoma of the skin,1991,Males,70_74,332.0,145.3,. .,. .,. .,. .,C43
195,Actual,Melanoma of the skin,1991,Males,75_79,252.0,158.5,. .,. .,. .,. .,C43
196,Actual,Melanoma of the skin,1991,Males,80_84,153.0,181.3,. .,. .,. .,. .,C43
197,Actual,Melanoma of the skin,1991,Males,85_89,60.0,177.4,. .,. .,. .,. .,C43
198,Actual,Melanoma of the skin,1991,Males,90+,11.0,105.9,. .,. .,. .,. .,C43
199,Actual,Melanoma of the skin,1991,Males,All ages combined,3185.0,37.0,43.1,50.4,34.2,30.8,C43
200,Actual,Melanoma of the skin,1992,Males,00_04,1.0,0.2,. .,. .,. .,. .,C43
201,Actual,Melanoma of the skin,1992,Males,05_09,1.0,0.2,. .,. .,. .,. .,C43
202,Actual,Melanoma of the skin,1992,Males,10_14,5.0,0.8,. .,. .,. .,. .,C43
203,Actual,Melanoma of the skin,1992,Males,15_19,39.0,5.8,. .,. .,. .,. .,C43
204,Actual,Melanoma of the skin,1992,Males,20_24,91.0,12.6,. .,. .,. .,. .,C43
205,Actual,Melanoma of the skin,1992,Males,25_29,114.0,16.5,. .,. .,. .,. .,C43
206,Actual,Melanoma of the skin,1992,Males,30_34,152.0,20.9,. .,. .,. .,. .,C43
207,Actual,Melanoma of the skin,1992,Males,35_39,221.0,32.7,. .,. .,. .,. .,C43
208,Actual,Melanoma of the skin,1992,Males,40_44,281.0,43.0,. .,. .,. .,. .,C43
209,Actual,Melanoma of the skin,1992,Males,45_49,288.0,51.3,. .,. .,. .,. .,C43
210,Actual,Melanoma of the skin,1992,Males,50_54,275.0,61.7,. .,. .,. .,. .,C43
211,Actual,Melanoma of the skin,1992,Males,55_59,318.0,85.1,. .,. .,. .,. .,C43
212,Actual,Melanoma of the skin,1992,Males,60_64,431.0,118.9,. .,. .,. .,. .,C43
213,Actual,Melanoma of the skin,1992,Males,65_69,440.0,135.5,. .,. .,. .,. .,C43
214,Actual,Melanoma of the skin,1992,Males,70_74,365.0,152.7,. .,. .,. .,. .,C43
215,Actual,Melanoma of the skin,1992,Males,75_79,305.0,188.3,. .,. .,. .,. .,C43
216,Actual,Melanoma of the skin,1992,Males,80_84,173.0,195.9,. .,. .,. .,. .,C43
217,Actual,Melanoma of the skin,1992,Males,85_89,60.0,167.4,. .,. .,. .,. .,C43
218,Actual,Melanoma of the skin,1992,Males,90+,26.0,226.8,. .,. .,. .,. .,C43
219,Actual,Melanoma of the skin,1992,Males,All ages combined,3586.0,41.2,47.8,56.7,37.6,34,C43
220,Actual,Melanoma of the skin,1993,Males,00_04,0.0,0.0,. .,. .,. .,. .,C43
221,Actual,Melanoma of the skin,1993,Males,05_09,1.0,0.2,. .,. .,. .,. .,C43
222,Actual,Melanoma of the skin,1993,Males,10_14,11.0,1.7,. .,. .,. .,. .,C43
223,Actual,Melanoma of the skin,1993,Males,15_19,39.0,5.9,. .,. .,. .,. .,C43
224,Actual,Melanoma of the skin,1993,Males,20_24,75.0,10.3,. .,. .,. .,. .,C43
225,Actual,Melanoma of the skin,1993,Males,25_29,120.0,17.6,. .,. .,. .,. .,C43
226,Actual,Melanoma of the skin,1993,Males,30_34,144.0,19.7,. .,. .,. .,. .,C43
227,Actual,Melanoma of the skin,1993,Males,35_39,225.0,32.9,. .,. .,. .,. .,C43
228,Actual,Melanoma of the skin,1993,Males,40_44,254.0,38.9,. .,. .,. .,. .,C43
229,Actual,Melanoma of the skin,1993,Males,45_49,299.0,50.3,. .,. .,. .,. .,C43
230,Actual,Melanoma of the skin,1993,Males,50_54,301.0,66.2,. .,. .,. .,. .,C43
231,Actual,Melanoma of the skin,1993,Males,55_59,321.0,83.9,. .,. .,. .,. .,C43
232,Actual,Melanoma of the skin,1993,Males,60_64,409.0,114.5,. .,. .,. .,. .,C43
233,Actual,Melanoma of the skin,1993,Males,65_69,453.0,137.6,. .,. .,. .,. .,C43
234,Actual,Melanoma of the skin,1993,Males,70_74,435.0,173.9,. .,. .,. .,. .,C43
235,Actual,Melanoma of the skin,1993,Males,75_79,342.0,209.8,. .,. .,. .,. .,C43
236,Actual,Melanoma of the skin,1993,Males,80_84,182.0,195.6,. .,. .,. .,. .,C43
237,Actual,Melanoma of the skin,1993,Males,85_89,72.0,190.3,. .,. .,. .,. .,C43
238,Actual,Melanoma of the skin,1993,Males,90+,28.0,225.2,. .,. .,. .,. .,C43
239,Actual,Melanoma of the skin,1993,Males,All ages combined,3712.0,42.3,48.9,58.3,38.1,34.3,C43
240,Actual,Melanoma of the skin,1994,Males,00_04,0.0,0.0,. .,. .,. .,. .,C43
241,Actual,Melanoma of the skin,1994,Males,05_09,0.0,0.0,. .,. .,. .,. .,C43
242,Actual,Melanoma of the skin,1994,Males,10_14,10.0,1.5,. .,. .,. .,. .,C43
243,Actual,Melanoma of the skin,1994,Males,15_19,34.0,5.2,. .,. .,. .,. .,C43
244,Actual,Melanoma of the skin,1994,Males,20_24,89.0,12.2,. .,. .,. .,. .,C43
245,Actual,Melanoma of the skin,1994,Males,25_29,134.0,19.7,. .,. .,. .,. .,C43
246,Actual,Melanoma of the skin,1994,Males,30_34,171.0,23.3,. .,. .,. .,. .,C43
247,Actual,Melanoma of the skin,1994,Males,35_39,227.0,32.7,. .,. .,. .,. .,C43
248,Actual,Melanoma of the skin,1994,Males,40_44,273.0,41.5,. .,. .,. .,. .,C43
249,Actual,Melanoma of the skin,1994,Males,45_49,335.0,54.5,. .,. .,. .,. .,C43
250,Actual,Melanoma of the skin,1994,Males,50_54,356.0,75.2,. .,. .,. .,. .,C43
251,Actual,Melanoma of the skin,1994,Males,55_59,347.0,88.4,. .,. .,. .,. .,C43
252,Actual,Melanoma of the skin,1994,Males,60_64,390.0,110.1,. .,. .,. .,. .,C43
253,Actual,Melanoma of the skin,1994,Males,65_69,431.0,130.0,. .,. .,. .,. .,C43
254,Actual,Melanoma of the skin,1994,Males,70_74,405.0,153.9,. .,. .,. .,. .,C43
255,Actual,Melanoma of the skin,1994,Males,75_79,324.0,198.9,. .,. .,. .,. .,C43
256,Actual,Melanoma of the skin,1994,Males,80_84,202.0,205.5,. .,. .,. .,. .,C43
257,Actual,Melanoma of the skin,1994,Males,85_89,82.0,206.5,. .,. .,. .,. .,C43
258,Actual,Melanoma of the skin,1994,Males,90+,22.0,163.3,. .,. .,. .,. .,C43
259,Actual,Melanoma of the skin,1994,Males,All ages combined,3832.0,43.2,49.3,58,38.8,35,C43
260,Actual,Melanoma of the skin,1995,Males,00_04,0.0,0.0,. .,. .,. .,. .,C43
261,Actual,Melanoma of the skin,1995,Males,05_09,1.0,0.2,. .,. .,. .,. .,C43
262,Actual,Melanoma of the skin,1995,Males,10_14,7.0,1.1,. .,. .,. .,. .,C43
263,Actual,Melanoma of the skin,1995,Males,15_19,59.0,9.1,. .,. .,. .,. .,C43
264,Actual,Melanoma of the skin,1995,Males,20_24,86.0,11.9,. .,. .,. .,. .,C43
265,Actual,Melanoma of the skin,1995,Males,25_29,137.0,19.9,. .,. .,. .,. .,C43
266,Actual,Melanoma of the skin,1995,Males,30_34,172.0,23.6,. .,. .,. .,. .,C43
267,Actual,Melanoma of the skin,1995,Males,35_39,224.0,31.6,. .,. .,. .,. .,C43
268,Actual,Melanoma of the skin,1995,Males,40_44,320.0,48.2,. .,. .,. .,. .,C43
269,Actual,Melanoma of the skin,1995,Males,45_49,333.0,52.6,. .,. .,. .,. .,C43
270,Actual,Melanoma of the skin,1995,Males,50_54,359.0,72.6,. .,. .,. .,. .,C43
271,Actual,Melanoma of the skin,1995,Males,55_59,392.0,96.8,. .,. .,. .,. .,C43
272,Actual,Melanoma of the skin,1995,Males,60_64,419.0,119.0,. .,. .,. .,. .,C43
273,Actual,Melanoma of the skin,1995,Males,65_69,499.0,149.4,. .,. .,. .,. .,C43
274,Actual,Melanoma of the skin,1995,Males,70_74,474.0,176.2,. .,. .,. .,. .,C43
275,Actual,Melanoma of the skin,1995,Males,75_79,330.0,195.4,. .,. .,. .,. .,C43
276,Actual,Melanoma of the skin,1995,Males,80_84,215.0,210.3,. .,. .,. .,. .,C43
277,Actual,Melanoma of the skin,1995,Males,85_89,102.0,242.2,. .,. .,. .,. .,C43
